id,date_listed,year,month,year_month,ortsteil,bezirk,kiez_premium,property_type,rooms,area_m2,floor,total_floors,building_era,energy_class,has_lift,has_balcony,furnished,to_brandenburg_gate_km,kaltmiete_eur_monthly,nebenkosten_eur_monthly,warmmiete_eur_monthly,rent_per_m2_kalt_eur
R000001,2023-12-18,2023,12,2023-12,Adlershof,Treptow-Köpenick,medium,2_room,2,55.1,0,3,post_war_1949_1990,E,False,True,False,13.53,517,281,798,9.37
R000002,2021-06-07,2021,6,2021-06,Lankwitz,Steglitz-Zehlendorf,medium,4_room,4,106.6,5,6,modern_1990_2010,E,True,False,False,8.85,1281,347,1628,12.03
R000003,2022-08-19,2022,8,2022-08,Britz,Neukölln,low,3_room,3,102.5,3,5,modern_1990_2010,C,True,False,False,9.09,1366,524,1889,13.32
R000004,2025-12-29,2025,12,2025-12,Hellersdorf,Marzahn-Hellersdorf,low,3_room,3,90.5,0,5,altbau_pre_1949,G,True,False,False,16.74,469,335,804,5.18
R000005,2022-07-18,2022,7,2022-07,Wartenberg,Lichtenberg,low,2_room,2,55.6,5,6,modern_1990_2010,H,True,True,False,11.3,369,260,629,6.64
R000006,2024-05-03,2024,5,2024-05,Blankenburg,Pankow,low,2_room,2,60.1,1,5,modern_1990_2010,C,True,False,False,10.07,672,218,890,11.17
R000007,2024-08-03,2024,8,2024-08,Halensee,Charlottenburg-Wilmersdorf,high,2_room,2,69.8,0,6,post_war_1949_1990,H,False,False,False,5.77,1011,221,1232,14.49
R000008,2024-05-03,2024,5,2024-05,Tegel,Reinickendorf,medium,2_room,2,67.8,3,5,post_war_1949_1990,E,False,True,False,10.57,614,225,839,9.06
R000009,2024-05-25,2024,5,2024-05,Wartenberg,Lichtenberg,low,4_room,4,98.0,2,6,post_war_1949_1990,D,False,True,False,11.61,728,304,1032,7.42
R000010,2021-09-27,2021,9,2021-09,Falkenberg,Lichtenberg,low,3_room,3,68.2,0,8,altbau_pre_1949,C,True,True,False,13.48,517,180,697,7.58
R000011,2024-10-04,2024,10,2024-10,Lichtenrade,Tempelhof-Schöneberg,low,4_room,4,112.6,1,4,post_war_1949_1990,F,True,True,False,14.5,1303,391,1694,11.57
R000012,2025-03-26,2025,3,2025-03,Lankwitz,Steglitz-Zehlendorf,medium,3_room,3,71.2,4,6,altbau_pre_1949,E,False,False,False,9.29,1340,187,1527,18.84
R000013,2025-01-23,2025,1,2025-01,Schmöckwitz,Treptow-Köpenick,medium,2_room,2,55.0,4,5,post_war_1949_1990,F,True,True,False,24.04,488,182,670,8.87
R000014,2021-02-10,2021,2,2021-02,Niederschönhausen,Pankow,medium,3_room,3,53.3,3,5,altbau_pre_1949,F,False,False,True,8.41,446,164,610,8.36
R000015,2023-03-31,2023,3,2023-03,Wittenau,Reinickendorf,low,4_room,4,92.2,3,5,altbau_pre_1949,G,True,True,False,9.06,1042,374,1415,11.3
R000016,2020-07-20,2020,7,2020-07,Reinickendorf (Ort),Reinickendorf,low,3_room,3,64.0,2,5,post_war_1949_1990,E,False,True,True,7.5,305,243,548,4.76
R000017,2022-09-24,2022,9,2022-09,Grunewald,Charlottenburg-Wilmersdorf,high,3_room,3,80.9,8,8,altbau_pre_1949,G,False,True,False,8.9,1461,427,1888,18.05
R000018,2024-02-12,2024,2,2024-02,Köpenick (Ort),Treptow-Köpenick,medium,3_room,3,101.4,4,5,altbau_pre_1949,F,False,True,False,14.77,1416,261,1678,13.97
R000019,2024-02-22,2024,2,2024-02,Lichterfelde,Steglitz-Zehlendorf,medium,3_room,3,83.4,1,4,modern_1990_2010,B,True,True,False,9.25,1369,248,1617,16.41
R000020,2024-09-02,2024,9,2024-09,Wannsee,Steglitz-Zehlendorf,high,2_room,2,65.8,4,5,altbau_pre_1949,G,False,False,False,18.43,1186,201,1387,18.02
R000021,2022-03-24,2022,3,2022-03,Buckow,Neukölln,low,4_room,4,110.2,0,5,post_war_1949_1990,F,True,True,False,10.27,922,427,1349,8.36
R000022,2021-02-14,2021,2,2021-02,Mahlsdorf,Marzahn-Hellersdorf,low,1_room,1,29.7,0,5,post_war_1949_1990,G,False,True,False,17.66,128,87,215,4.3
R000023,2026-04-04,2026,4,2026-04,Gesundbrunnen,Mitte,medium,3_room,3,78.7,2,6,altbau_pre_1949,F,False,True,False,3.52,1133,223,1357,14.41
R000024,2022-12-15,2022,12,2022-12,Tegel,Reinickendorf,medium,3_room,3,98.6,1,6,new_post_2010,A,True,False,False,7.28,1676,382,2058,16.99
R000025,2025-04-22,2025,4,2025-04,Charlottenburg,Charlottenburg-Wilmersdorf,high,3_room,3,111.8,1,3,post_war_1949_1990,F,False,False,False,3.08,2069,413,2482,18.5
R000026,2023-08-28,2023,8,2023-08,Borsigwalde,Reinickendorf,low,2_room,2,52.0,2,6,modern_1990_2010,D,True,False,False,9.74,521,187,708,10.02
R000027,2021-10-28,2021,10,2021-10,Wedding,Mitte,medium,2_room,2,79.8,5,5,modern_1990_2010,C,True,True,False,4.54,1125,242,1368,14.1
R000028,2023-02-11,2023,2,2023-02,Marienfelde,Tempelhof-Schöneberg,low,1_room,1,35.2,4,8,post_war_1949_1990,E,False,False,True,11.36,253,146,400,7.19
R000029,2021-09-19,2021,9,2021-09,Französisch Buchholz,Pankow,medium,4_room,4,97.8,2,5,altbau_pre_1949,C,False,True,True,8.58,996,258,1253,10.18
R000030,2024-09-18,2024,9,2024-09,Lichtenberg (Ort),Lichtenberg,medium,1_room,1,31.9,3,4,post_war_1949_1990,H,False,True,False,7.23,284,109,393,8.91
R000031,2022-11-13,2022,11,2022-11,Grunewald,Charlottenburg-Wilmersdorf,high,2_room,2,59.3,1,4,post_war_1949_1990,E,True,True,False,8.42,1473,229,1702,24.85
R000032,2024-05-21,2024,5,2024-05,Baumschulenweg,Treptow-Köpenick,medium,3_room,3,96.4,0,5,post_war_1949_1990,E,False,True,False,9.63,817,286,1103,8.48
R000033,2022-07-11,2022,7,2022-07,Moabit,Mitte,medium,1_room,1,31.6,4,4,altbau_pre_1949,F,False,True,False,1.17,571,107,678,18.09
R000034,2025-10-30,2025,10,2025-10,Mitte (Ort),Mitte,high,5_room_plus,5,127.3,0,6,new_post_2010,A,True,False,False,1.71,5604,442,6047,44.02
R000035,2020-01-15,2020,1,2020-01,Konradshöhe,Reinickendorf,medium,1_room,1,38.5,4,4,post_war_1949_1990,E,True,False,False,12.72,294,146,440,7.65
R000036,2025-03-29,2025,3,2025-03,Lankwitz,Steglitz-Zehlendorf,medium,2_room,2,52.5,0,3,altbau_pre_1949,F,False,True,False,8.13,921,174,1095,17.55
R000037,2022-04-06,2022,4,2022-04,Niederschönhausen,Pankow,medium,3_room,3,117.3,3,3,post_war_1949_1990,D,False,True,True,6.68,901,392,1293,7.68
R000038,2020-01-16,2020,1,2020-01,Lichtenrade,Tempelhof-Schöneberg,low,1_room,1,36.9,5,5,post_war_1949_1990,H,False,True,False,12.35,219,113,331,5.93
R000039,2024-08-19,2024,8,2024-08,Hansaviertel,Mitte,high,3_room,3,97.0,1,4,post_war_1949_1990,F,False,False,False,1.89,1953,354,2307,20.13
