id,date_listed,project_id,project_name,developer,ortsteil,bezirk,lat,lon,property_type,rooms,area_m2,floor,total_floors,energy_class,completion_year,total_project_units,possession_status,payment_plan,has_lift,has_balcony,has_parking,transit_station,transit_line,transit_distance_min,to_brandenburg_gate_km,price_eur,price_per_m2_eur,price_usd,price_per_m2_usd,mortgage_rate_at_listing
N000001,2024-05-20,NC0120,Kiez Moabit,STADT UND LAND,Moabit,Mitte,52.52846,13.34076,4_room,4,114.6,2,8,A_plus,2025,20,under_construction,full_at_handover,True,True,False,Kleistpark,U7,59,2.84,1335000,11646,1441922,12578,3.85
N000002,2024-02-06,NC0051,Platz Charlottenburg,GAGFAH,Charlottenburg,Charlottenburg-Wilmersdorf,52.51224,13.30218,3_room,3,70.9,1,8,A,2028,250,ready_within_6m,full_at_handover,True,True,True,Anhalter Bahnhof,S1,70,5.13,805000,11347,869116,12254,3.85
N000003,2022-11-10,NC0066,Höfe Lichterfelde,Adler Group,Lichterfelde,Steglitz-Zehlendorf,52.42957,13.30744,5_room_plus,5,131.1,4,6,A_plus,2028,20,ready_within_6m,off_plan_30_70,True,True,True,Friedenau S,S1,65,10.75,1324000,10102,1430065,10910,3.4
N000004,2023-09-19,NC0067,Hofgarten Tiergarten,Berlinovo,Tiergarten,Mitte,52.5141,13.35763,5_room_plus,5,244.0,2,8,A,2024,250,under_construction,off_plan_30_70,True,True,True,Theodor-Heuss-Platz,U2,72,1.38,3335000,13667,3601371,14761,4.1
N000005,2024-08-26,NC0115,Living Mariendorf,Berlinovo,Mariendorf,Tempelhof-Schöneberg,52.44131,13.39152,1_room,1,42.8,3,6,B,2024,250,under_construction,full_at_handover,True,True,False,Bayerischer Platz,U7,79,8.39,263000,6129,283609,6619,3.5
N000006,2021-11-25,NC0077,Höfe Britz,Buwog,Britz,Neukölln,52.45055,13.44052,2_room,2,38.8,0,4,A,2025,120,ready_within_6m,tranches_quarterly,True,True,True,Grenzallee,U7,17,8.46,238000,6138,257105,6629,1.1
N000007,2021-08-06,NC0176,Heimat Spandau,Adler Group,Spandau (Ort),Spandau,52.53613,13.20092,4_room,4,113.7,2,5,A,2027,500,under_construction,70_30,True,True,True,Rathaus Spandau,U7,1,12.16,602000,5295,650242,5719,1.1
N000008,2023-09-21,NC0033,Carré Kreuzberg,Trockland,Kreuzberg,Friedrichshain-Kreuzberg,52.50161,13.39768,3_room,3,80.8,3,4,A_plus,2025,250,completed,full_at_handover,True,True,False,Gleisdreieck,U1,22,2.12,917000,11358,990843,12267,4.1
N000009,2024-02-15,NC0161,Lofts Gesundbrunnen,Vonovia,Gesundbrunnen,Mitte,52.54639,13.40089,3_room,3,119.2,6,8,A_plus,2027,20,under_construction,off_plan_30_70,True,True,True,Pankow U2,U2,31,3.7,1030000,8638,1112355,9329,3.85
N000010,2025-01-13,NC0090,Pavillon Kladow,Diamona & Harnisch,Kladow,Spandau,52.44679,13.13695,4_room,4,115.2,4,4,A,2026,120,under_construction,70_30,True,True,True,Mexikoplatz,S1,78,18.04,728000,6319,786351,6824,3.3
