id,date_listed,ortsteil,bezirk,kiez_premium,lat,lon,property_type,rooms,area_m2,floor,total_floors,building_era,energy_class,position,condition,has_lift,has_balcony,furnished,transit_station,transit_line,transit_distance_min,to_brandenburg_gate_km,kaltmiete_eur_monthly,nebenkosten_eur_monthly,warmmiete_eur_monthly,rent_per_m2_kalt_eur,rent_includes_warmmiete,kaution_months,warmmiete_eur_monthly_usd
R000001,2023-12-18,Adlershof,Treptow-Köpenick,medium,52.44391,13.53835,2_room,2,55.1,0,3,post_war_1949_1990,E,vorderhaus,kernsaniert,False,True,False,Konstanzer Straße,U7,203,13.53,517,281,798,9.37,False,3,861
R000002,2021-06-07,Lankwitz,Steglitz-Zehlendorf,medium,52.44035,13.33848,4_room,4,106.6,5,6,modern_1990_2010,E,vorderhaus,saniert,True,False,False,Heinrich-Heine-Straße,U8,111,8.85,1281,347,1628,12.03,True,3,1758
R000003,2022-08-19,Britz,Neukölln,low,52.44825,13.45215,3_room,3,102.5,3,5,modern_1990_2010,C,vorderhaus,saniert,True,False,False,Neukölln,U7,27,9.09,1366,524,1889,13.32,False,1,2041
R000004,2025-12-29,Hellersdorf,Marzahn-Hellersdorf,low,52.53063,13.62405,3_room,3,90.5,0,5,altbau_pre_1949,G,seitenflügel,kernsaniert,True,False,False,Neukölln S,S Ringbahn,167,16.74,469,335,804,5.18,True,2,869
R000005,2022-07-18,Wartenberg,Lichtenberg,low,52.58212,13.50497,2_room,2,55.6,5,6,modern_1990_2010,H,vorderhaus,modernisiert,True,True,False,Gesundbrunnen S,S Ringbahn,110,11.3,369,260,629,6.64,False,2,679
R000006,2024-05-03,Blankenburg,Pankow,low,52.59812,13.44139,2_room,2,60.1,1,5,modern_1990_2010,C,vorderhaus,kernsaniert,True,False,False,Rathaus Spandau,U7,217,10.07,672,218,890,11.17,False,3,961
R000007,2024-08-03,Halensee,Charlottenburg-Wilmersdorf,high,52.49883,13.29736,2_room,2,69.8,0,6,post_war_1949_1990,H,hinterhaus,modernisiert,False,False,False,Halensee S,S Ringbahn,1,5.77,1011,221,1232,14.49,True,3,1330
R000008,2024-05-03,Tegel,Reinickendorf,medium,52.5852,13.2701,2_room,2,67.8,3,5,post_war_1949_1990,E,vorderhaus,modernisiert,False,True,False,Olympia-Stadion,U2,97,10.57,614,225,839,9.06,True,3,906
R000009,2024-05-25,Wartenberg,Lichtenberg,low,52.58552,13.50621,4_room,4,98.0,2,6,post_war_1949_1990,D,vorderhaus,modernisiert,False,True,False,Prinzenstraße,U1,145,11.61,728,304,1032,7.42,True,3,1114
R000010,2021-09-27,Falkenberg,Lichtenberg,low,52.58612,13.5406,3_room,3,68.2,0,8,altbau_pre_1949,C,seitenflügel,renovierungsbedürftig,True,True,False,Hackescher Markt,Stadtbahn,143,13.48,517,180,697,7.58,False,3,753
R000011,2024-10-04,Lichtenrade,Tempelhof-Schöneberg,low,52.38603,13.38612,4_room,4,112.6,1,4,post_war_1949_1990,F,vorderhaus,kernsaniert,True,True,False,Sonnenallee,S Ringbahn,115,14.5,1303,391,1694,11.57,True,3,1830
R000012,2025-03-26,Lankwitz,Steglitz-Zehlendorf,medium,52.43358,13.35859,3_room,3,71.2,4,6,altbau_pre_1949,E,vorderhaus,kernsaniert,False,False,False,Beusselstraße,S Ringbahn,129,9.29,1340,187,1527,18.84,False,2,1649
R000013,2025-01-23,Schmöckwitz,Treptow-Köpenick,medium,52.37146,13.64109,2_room,2,55.0,4,5,post_war_1949_1990,F,seitenflügel,renoviert,True,True,False,Boddinstraße,U8,229,24.04,488,182,670,8.87,True,2,723
R000014,2021-02-10,Niederschönhausen,Pankow,medium,52.59036,13.40276,3_room,3,53.3,3,5,altbau_pre_1949,F,vorderhaus,renovierungsbedürftig,False,False,True,Märkisches Museum,U2,81,8.41,446,164,610,8.36,True,3,659
R000015,2023-03-31,Wittenau,Reinickendorf,low,52.59004,13.3208,4_room,4,92.2,3,5,altbau_pre_1949,G,vorderhaus,renovierungsbedürftig,True,True,False,Wittenau U,U8,3,9.06,1042,374,1415,11.3,False,2,1529
R000016,2020-07-20,Reinickendorf (Ort),Reinickendorf,low,52.57954,13.339,3_room,3,64.0,2,5,post_war_1949_1990,E,hinterhaus,saniert,False,True,True,Weinmeisterstraße,U8,84,7.5,305,243,548,4.76,True,3,592
R000017,2022-09-24,Grunewald,Charlottenburg-Wilmersdorf,high,52.48897,13.25405,3_room,3,80.9,8,8,altbau_pre_1949,G,hinterhaus,kernsaniert,False,True,False,Fehrbelliner Platz,U7,57,8.9,1461,427,1888,18.05,True,2,2039
R000018,2024-02-12,Köpenick (Ort),Treptow-Köpenick,medium,52.44266,13.55915,3_room,3,101.4,4,5,altbau_pre_1949,F,vorderhaus,modernisiert,False,True,False,Hermannstraße S,S Ringbahn,121,14.77,1416,261,1678,13.97,False,2,1812
R000019,2024-02-22,Lichterfelde,Steglitz-Zehlendorf,medium,52.44561,13.30569,3_room,3,83.4,1,4,modern_1990_2010,B,vorderhaus,renovierungsbedürftig,True,True,False,Mexikoplatz,S1,69,9.25,1369,248,1617,16.41,True,2,1746
R000020,2024-09-02,Wannsee,Steglitz-Zehlendorf,high,52.41626,13.16076,2_room,2,65.8,4,5,altbau_pre_1949,G,hinterhaus,modernisiert,False,False,False,Wannsee,S1,2,18.43,1186,201,1387,18.02,False,3,1498
R000021,2022-03-24,Buckow,Neukölln,low,52.43066,13.43439,4_room,4,110.2,0,5,post_war_1949_1990,F,vorderhaus,saniert,True,True,False,Friedrichstraße,Stadtbahn,132,10.27,922,427,1349,8.36,False,3,1457
R000022,2021-02-14,Mahlsdorf,Marzahn-Hellersdorf,low,52.49947,13.63713,1_room,1,29.7,0,5,post_war_1949_1990,G,vorderhaus,modernisiert,False,True,False,Heidelberger Platz,S Ringbahn,252,17.66,128,87,215,4.3,False,3,232
R000023,2026-04-04,Gesundbrunnen,Mitte,medium,52.54783,13.38298,3_room,3,78.7,2,6,altbau_pre_1949,F,vorderhaus,renoviert,False,True,False,Schönhauser Allee,S Ringbahn,28,3.52,1133,223,1357,14.41,True,3,1465
R000024,2022-12-15,Tegel,Reinickendorf,medium,52.56519,13.30616,3_room,3,98.6,1,6,new_post_2010,A,vorderhaus,modernisiert,True,False,False,Zwickauer Damm,U7,273,7.28,1676,382,2058,16.99,False,3,2223
R000025,2025-04-22,Charlottenburg,Charlottenburg-Wilmersdorf,high,52.52594,13.33502,3_room,3,111.8,1,3,post_war_1949_1990,F,hinterhaus,modernisiert,False,False,False,Wilmersdorfer Straße,U7,15,3.08,2069,413,2482,18.5,True,3,2680
R000026,2023-08-28,Borsigwalde,Reinickendorf,low,52.58625,13.29092,2_room,2,52.0,2,6,modern_1990_2010,D,vorderhaus,modernisiert,True,False,False,Wittenau U,U8,27,9.74,521,187,708,10.02,False,2,765
R000027,2021-10-28,Wedding,Mitte,medium,52.55331,13.3492,2_room,2,79.8,5,5,modern_1990_2010,C,vorderhaus,kernsaniert,True,True,False,Moritzplatz,U8,77,4.54,1125,242,1368,14.1,True,3,1477
R000028,2023-02-11,Marienfelde,Tempelhof-Schöneberg,low,52.41419,13.37067,1_room,1,35.2,4,8,post_war_1949_1990,E,seitenflügel,saniert,False,False,True,Berliner Straße,U7,103,11.36,253,146,400,7.19,True,2,432
R000029,2021-09-19,Französisch Buchholz,Pankow,medium,52.58381,13.4392,4_room,4,97.8,2,5,altbau_pre_1949,C,hinterhaus,renovierungsbedürftig,False,True,True,Lindauer Allee,U8,75,8.58,996,258,1253,10.18,False,1,1353
R000030,2024-09-18,Lichtenberg (Ort),Lichtenberg,medium,52.50971,13.48401,1_room,1,31.9,3,4,post_war_1949_1990,H,seitenflügel,kernsaniert,False,True,False,Frankfurter Allee,S Ringbahn,17,7.23,284,109,393,8.91,False,2,424
R000031,2022-11-13,Grunewald,Charlottenburg-Wilmersdorf,high,52.48794,13.2624,2_room,2,59.3,1,4,post_war_1949_1990,E,vorderhaus,modernisiert,True,True,False,Bülowstraße,U2,90,8.42,1473,229,1702,24.85,True,3,1839
