id,date_listed,ortsteil,bezirk,kiez_premium,lat,lon,property_type,rooms,area_m2,floor,total_floors,year_built,building_era,energy_class,position,condition,has_lift,has_balcony,has_cellar,has_parking,transit_station,transit_line,transit_distance_min,transit_distance_type,to_brandenburg_gate_km,price_eur,price_per_m2_eur,price_usd,price_per_m2_usd,mortgage_rate_at_listing
S000001,2024-11-23,Kreuzberg,Friedrichshain-Kreuzberg,high,52.50656,13.40768,2_room,2,69.0,1,6,2011,new_post_2010,B,hinterhaus,saniert,True,True,False,False,Gleisdreieck,U1,10,tram_bus,2.3,577000,8358,622867,9026,3.5
S000002,2025-06-06,Gatow,Spandau,medium,52.47856,13.17688,3_room,3,82.0,4,5,2016,new_post_2010,B,vorderhaus,modernisiert,True,True,True,False,Wilmersdorfer Straße,U7,44,tram_bus,14.23,378000,4605,408004,4973,3.3
S000003,2021-03-13,Köpenick (Ort),Treptow-Köpenick,medium,52.45023,13.57624,1_room,1,28.3,2,4,1976,post_war_1949_1990,G,hinterhaus,modernisiert,False,False,True,True,Altstadt Spandau,U7,116,tram_bus,15.32,61000,2158,65916,2331,1.1
S000004,2024-12-08,Mitte (Ort),Mitte,high,52.52427,13.41293,4_room,4,108.0,3,5,1950,post_war_1949_1990,C,seitenflügel,modernisiert,False,False,True,False,Prinzenstraße,U1,11,tram_bus,2.54,711000,6582,767527,7109,3.5
S000005,2021-05-10,Wittenau,Reinickendorf,low,52.59374,13.31938,2_room,2,44.7,4,4,1884,altbau_pre_1949,E,seitenflügel,renovierungsbedürftig,False,False,True,False,Rosa-Luxemburg-Platz,U2,39,tram_bus,9.47,71000,1597,77078,1725,1.1
S000006,2024-05-29,Kreuzberg,Friedrichshain-Kreuzberg,high,52.5022,13.39395,1_room,1,35.1,2,4,1969,post_war_1949_1990,E,vorderhaus,renovierungsbedürftig,True,True,True,False,Senefelderplatz,U2,23,tram_bus,1.92,185000,5257,199286,5678,3.85
S000007,2024-12-04,Karow,Pankow,low,52.61582,13.46733,3_room,3,70.1,0,4,2011,new_post_2010,A,vorderhaus,modernisiert,True,True,False,False,Moritzplatz,U8,56,tram_bus,12.62,288000,4117,311541,4447,3.5
S000008,2023-12-24,Falkenhagener Feld,Spandau,low,52.54967,13.17029,2_room,2,62.6,0,5,1976,post_war_1949_1990,C,seitenflügel,saniert,False,True,True,False,Rohrdamm,U7,20,tram_bus,14.51,131000,2093,141612,2261,4.1
S000009,2020-07-10,Hansaviertel,Mitte,high,52.51705,13.33464,3_room,3,131.6,2,12,1919,altbau_pre_1949,E,vorderhaus,modernisiert,False,True,False,False,Kurfürstendamm,U1,14,tram_bus,2.91,964000,7323,1040928,7908,1.1
S000010,2024-08-14,Karlshorst,Lichtenberg,medium,52.48206,13.52859,3_room,3,100.7,6,8,1958,post_war_1949_1990,E,vorderhaus,kernsaniert,False,True,False,True,Hackescher Markt,Stadtbahn,41,tram_bus,10.9,376000,3733,406097,4032,3.5
S000011,2020-04-13,Siemensstadt,Spandau,low,52.54721,13.25483,2_room,2,44.7,0,8,2021,new_post_2010,C,vorderhaus,modernisiert,True,False,True,True,Sundgauer Straße,S1,52,tram_bus,8.99,159000,3559,171688,3844,1.1
S000012,2020-06-05,Niederschönhausen,Pankow,medium,52.57454,13.42144,1_room,1,31.9,4,5,1990,modern_1990_2010,C,hinterhaus,kernsaniert,True,True,True,True,Pankow U2,U2,13,walk,7.12,156000,4897,168888,5289,1.1
S000013,2024-05-23,Konradshöhe,Reinickendorf,medium,52.61002,13.21845,3_room,3,70.9,0,8,2004,modern_1990_2010,B,vorderhaus,kernsaniert,True,True,True,False,Berlin Hauptbahnhof,Stadtbahn,58,tram_bus,14.98,290000,4086,313065,4413,3.85
S000014,2020-12-08,Wedding,Mitte,medium,52.54308,13.33253,1_room,1,35.7,3,5,2012,new_post_2010,D,hinterhaus,modernisiert,True,True,True,False,Gesundbrunnen U,U8,16,tram_bus,4.27,167000,4686,180797,5061,1.1
S000015,2025-06-28,Konradshöhe,Reinickendorf,medium,52.59497,13.21632,3_room,3,76.5,5,5,1966,post_war_1949_1990,G,vorderhaus,saniert,True,False,False,True,Mendelssohn-Bartholdy,U2,63,tram_bus,13.98,199000,2596,214577,2804,3.3
S000016,2025-11-03,Adlershof,Treptow-Köpenick,medium,52.43593,13.54652,4_room,4,124.6,0,4,1911,altbau_pre_1949,C,vorderhaus,saniert,False,True,True,False,Zwickauer Damm,U7,20,tram_bus,14.51,553000,4441,597445,4796,3.1
S000017,2025-05-20,Baumschulenweg,Treptow-Köpenick,medium,52.45553,13.48727,1_room,1,34.2,3,4,1972,post_war_1949_1990,B,vorderhaus,modernisiert,True,False,True,False,Storkower Straße,S Ringbahn,29,tram_bus,10.04,128000,3737,138120,4036,3.3
S000018,2023-08-31,Wittenau,Reinickendorf,low,52.59297,13.34327,3_room,3,80.3,3,4,1962,post_war_1949_1990,G,vorderhaus,modernisiert,False,True,True,False,Wittenau U,U8,3,walk,8.84,201000,2501,216948,2701,4.1
S000019,2022-01-26,Wartenberg,Lichtenberg,low,52.5874,13.50203,2_room,2,47.4,3,4,2024,new_post_2010,A,vorderhaus,modernisiert,True,False,False,False,Landsberger Allee,S Ringbahn,30,tram_bus,11.54,185000,3913,200165,4226,1.8
S000020,2023-03-09,Pankow (Ort),Pankow,medium,52.56481,13.39286,1_room,1,44.4,3,3,1972,post_war_1949_1990,G,vorderhaus,kernsaniert,False,False,True,False,Pankow U2,U2,2,walk,5.49,144000,3240,155256,3499,3.85
S000021,2020-08-07,Moabit,Mitte,medium,52.52051,13.35476,3_room,3,74.6,0,5,1919,altbau_pre_1949,F,hinterhaus,kernsaniert,False,True,False,True,Westhafen,S Ringbahn,15,walk,1.62,346000,4638,373474,5009,1.1
S000022,2021-04-26,Steglitz,Steglitz-Zehlendorf,medium,52.45254,13.32378,2_room,2,62.8,4,6,1934,altbau_pre_1949,E,vorderhaus,saniert,False,True,True,False,Mexikoplatz,S1,33,tram_bus,7.97,357000,5690,385906,6146,1.1
S000023,2022-05-19,Halensee,Charlottenburg-Wilmersdorf,high,52.48849,13.27999,5_room_plus,5,199.3,5,12,1992,modern_1990_2010,D,vorderhaus,renovierungsbedürftig,True,True,True,False,Halensee S,S Ringbahn,2,walk,7.3,1286000,6455,1389285,6972,1.8
S000024,2024-09-02,Britz,Neukölln,low,52.44377,13.4452,1_room,1,20.0,7,8,1933,altbau_pre_1949,D,gartenhaus,renovierungsbedürftig,False,True,False,True,Lipschitzallee,U7,18,tram_bus,9.27,53000,2656,57379,2869,3.5
S000025,2025-10-05,Tiergarten,Mitte,high,52.51569,13.36099,4_room,4,109.2,0,3,1951,post_war_1949_1990,F,vorderhaus,kernsaniert,False,True,False,False,Tiergarten S,Stadtbahn,3,walk,1.13,777000,7119,839235,7689,3.1
S000026,2020-09-19,Gesundbrunnen,Mitte,medium,52.54376,13.38975,2_room,2,76.2,0,6,1998,modern_1990_2010,D,vorderhaus,saniert,True,False,True,True,Gesundbrunnen S,S Ringbahn,6,walk,3.16,301000,3945,324874,4261,1.1
S000027,2021-02-04,Lichtenrade,Tempelhof-Schöneberg,low,52.39501,13.41115,1_room,1,30.7,7,12,1999,modern_1990_2010,D,seitenflügel,saniert,False,True,True,False,Mendelssohn-Bartholdy,U2,54,tram_bus,13.68,95000,3089,102521,3336,1.1
