station_name,line,lat,lon,year_opened,to_brandenburg_gate_km
Warschauer Straße,U1,52.5057,13.4495,1902,5.0
Schlesisches Tor,U1,52.5012,13.4423,1902,4.68
Görlitzer Bahnhof,U1,52.4986,13.4286,1902,3.97
Kottbusser Tor,U1,52.4994,13.4181,1902,3.32
Prinzenstraße,U1,52.5006,13.4097,1902,2.78
Hallesches Tor,U1,52.4983,13.3909,1902,2.19
Möckernbrücke,U1,52.4994,13.3814,1902,1.9
Gleisdreieck,U1,52.4992,13.3736,1902,1.92
Kurfürstenstraße,U1,52.5005,13.3651,1902,1.95
Nollendorfplatz,U1,52.5007,13.3535,1902,2.39
Wittenbergplatz,U1,52.5018,13.3424,1902,2.88
Kurfürstendamm,U1,52.5031,13.3318,1961,3.44
Uhlandstraße,U1,52.5036,13.3239,1913,3.91
Pankow U2,U2,52.569,13.403,2000,6.1
Senefelderplatz,U2,52.5378,13.415,1913,3.48
Rosa-Luxemburg-Platz,U2,52.5279,13.4112,1913,2.61
Alexanderplatz,U2,52.5219,13.4132,1913,2.48
Klosterstraße,U2,52.5163,13.4112,1913,2.27
Märkisches Museum,U2,52.5128,13.4087,1913,2.13
Spittelmarkt,U2,52.5113,13.4017,1908,1.72
Hausvogteiplatz,U2,52.5118,13.3937,1908,1.19
Stadtmitte,U2,52.5114,13.3884,1908,0.91
Mohrenstraße,U2,52.5102,13.3893,1908,1.04
Potsdamer Platz,U2,52.5102,13.376,1908,0.69
Mendelssohn-Bartholdy,U2,52.505,13.37,1908,1.36
Bülowstraße,U2,52.4993,13.3593,1902,2.26
Zoologischer Garten,U2,52.5071,13.332,1902,3.26
Ernst-Reuter-Platz,U2,52.5125,13.321,1929,3.86
Theodor-Heuss-Platz,U2,52.506,13.274,1908,7.11
Olympia-Stadion,U2,52.517,13.235,1929,9.66
Ruhleben,U2,52.524,13.235,1929,9.69
Rathaus Spandau,U7,52.536,13.201,1984,12.15
Altstadt Spandau,U7,52.539,13.205,1984,11.95
Rohrdamm,U7,52.536,13.241,1980,9.5
Siemensdamm,U7,52.535,13.264,1980,7.97
Halemweg,U7,52.541,13.278,1980,7.28
Jakob-Kaiser-Platz,U7,52.543,13.29,1980,6.63
Jungfernheide U,U7,52.536,13.294,1980,6.07
Mierendorffplatz,U7,52.529,13.302,1980,5.31
Richard-Wagner-Platz,U7,52.523,13.307,1978,4.84
Bismarckstraße,U7,52.513,13.308,1978,4.73
Wilmersdorfer Straße,U7,52.506,13.306,1978,4.99
Adenauerplatz,U7,52.499,13.307,1978,5.16
Konstanzer Straße,U7,52.4924,13.314,1978,5.06
Fehrbelliner Platz,U7,52.491,13.317,1971,4.98
Berliner Straße,U7,52.486,13.33,1971,4.67
Bayerischer Platz,U7,52.486,13.3417,1971,4.16
Eisenacher Straße,U7,52.4855,13.3525,1971,3.83
Kleistpark,U7,52.4878,13.3617,1971,3.35
